t,cmd_pitch,cmd_roll
3.793,0.121901873954655,-0.0037410952522157
3.794,0.120900921430094,-0.00374145745454219
3.795,0.119897396388236,-0.00374175410704431
3.796,0.118888982071617,-0.00374192617686538
3.797,0.117880567754998,-0.00374209824668645
3.798,0.116867450467285,-0.00374370774471528
3.799,0.115853870404791,-0.00374545868642145
3.8,0.114838800487153,-0.00374879124284562
3.801,0.113822090942363,-0.00375386441039265
3.802,0.112805320562844,-0.00375917579966297
3.803,0.111787153091441,-0.00376995803815595
3.804,0.110768985620038,-0.00378074027664893
3.805,0.109750818148634,-0.00379152251514191
3.806,0.108732461966121,-0.00380953039946514
3.807,0.107714101149513,-0.00382771572073035
3.808,0.106695897856512,-0.00384845904295846
3.809,0.105678019281987,-0.00387447541722189
3.81,0.104660140707463,-0.00390049179148531
3.811,0.103642578744337,-0.00393195273436912
3.812,0.10262516765521,-0.00396600816324721
3.813,0.101607755546554,-0.00400025547728169
3.814,0.100590307890505,-0.00404119315465413
3.815,0.099572860234456,-0.00408213083202658
3.816,0.0985547368158862,-0.00412803120506648
3.817,0.0975365584123558,-0.00417433537917549
3.818,0.0965171406920879,-0.00422423061486596
3.819,0.0954974539235318,-0.00427490544865469
3.82,0.0944760419721044,-0.00432781495017519
3.821,0.093453954124658,-0.00438159995483825
3.822,0.0924298076626704,-0.00443639866343564
3.823,0.091404374526348,-0.00449183095681025
3.824,0.0903764413142784,-0.00454718597003428
3.825,0.089346127612247,-0.00460246739963866
3.826,0.0883158139102157,-0.00465774882924305
3.827,0.0872795335569985,-0.00471085316152215
3.828,0.0862426424487104,-0.004763734642961
3.829,0.085202756692746,-0.00481462260757106
3.83,0.0841559507057153,-0.00486090382087728
3.831,0.0831091447186847,-0.00490718503418349
3.832,0.0820623387316536,-0.00495346624748972
3.833,0.0810115146661846,-0.00499638978716853
3.834,0.0799513173985779,-0.00503148068890729
3.835,0.0788911201309712,-0.00506657159064604
3.836,0.077830922863364,-0.00510166249238481
3.837,0.0767664554718883,-0.00513283598321275
3.838,0.0756919321964306,-0.00515478420778645
3.839,0.0746174089209728,-0.00517673243236015
3.84,0.073542885645515,-0.00519868065693385
3.841,0.0724645525790232,-0.00521724557740946
3.842,0.0713771620423079,-0.00522776696587576
3.843,0.0702897715055927,-0.00523828835434206
3.844,0.0692010190925208,-0.00524779453454355
3.845,0.0681027901144612,-0.00525023642652908
3.846,0.0670045611364021,-0.0052526783185146
3.847,0.0659063321583431,-0.00525512021050013
3.848,0.0647997409451301,-0.00525298809294474
3.849,0.0636927577236253,-0.00525064155309298
3.85,0.0625813104878584,-0.0052471295544535
3.851,0.0614675341196605,-0.00524300946907869
3.852,0.0603515251451851,-0.00523898736452325
3.853,0.059231530669744,-0.00523514016884187
3.854,0.0581111917735846,-0.00523143129572391
3.855,0.0569855476650884,-0.00522985304521317
3.856,0.0558599035565923,-0.00522827479470242
3.857,0.0547303830614234,-0.00522980131774097
3.858,0.053599657683318,-0.00523229288606247
3.859,0.0524664477299747,-0.00523813021418394
3.86,0.0513303767857093,-0.00524782018812958
3.861,0.0501943058414434,-0.00525751016207522
3.862,0.0490580415197772,-0.00526755320009751
3.863,0.0479170357739084,-0.00528625302299069
3.864,0.0467760300280395,-0.00530495284588387
3.865,0.0456338211507197,-0.00532651796671856
3.866,0.0444892375683384,-0.00535373852738302
3.867,0.0433446539859572,-0.00538095908804749
3.868,0.0421982817938603,-0.00541331553890042
3.869,0.0410508742118035,-0.00544864505262277
3.87,0.0399034666297473,-0.0054839745663451
3.871,0.0387540377343209,-0.00552577153091448
3.872,0.0376044577422401,-0.00556805194856904
3.873,0.0364544982608071,-0.00561151112866686
3.874,0.0353032504362107,-0.00565897213524225
3.875,0.0341520026116143,-0.00570643314181765
3.876,0.0330000449488375,-0.00575545975052612
3.877,0.0318474440758934,-0.00580590500821295
3.878,0.0306948432029497,-0.00585635026589976
3.879,0.0295412053356284,-0.00590727384008589
3.88,0.0283873424647266,-0.00595830119779032
3.881,0.0272333116504432,-0.00600911556796349
3.882,0.0260780350604612,-0.00605835003252277
3.883,0.0249227584704792,-0.00610758449708204
3.884,0.0237667300284751,-0.00615519002594882
3.885,0.0226096455910018,-0.00620050767281301
3.886,0.0214525611535291,-0.00624582531967717
3.887,0.0202930657147812,-0.00628553820281888
3.888,0.0191325996438817,-0.00632299469400956
3.889,0.0179721335729816,-0.00636045118520025
3.89,0.0168116675020821,-0.00639790767639093
3.891,0.0156502259948418,-0.00643349919331184
3.892,0.014484718226942,-0.00646131627002973
3.893,0.0133192104590417,-0.00648913334674762
3.894,0.0121537026911419,-0.00651695042346551
3.895,0.010982239189759,-0.00653665789853853
3.896,0.00981077442500103,-0.00655636365334171
3.897,0.0086393096602425,-0.0065760694081449
3.898,0.00746216014427847,-0.00659014922230937
3.899,0.00628364323097211,-0.00660287578529386
3.9,0.00510512631766576,-0.00661560234827835
3.901,0.00392174276332727,-0.00662522155513943
3.902,0.00273527922546834,-0.00663287418883603
3.903,0.0015488156876094,-0.00664052682253262
3.904,0.000358806681838909,-0.00664703268671691
3.905,-0.000836124044778118,-0.00665194663706782
3.906,-0.00203105477139461,-0.00665686058741872
3.907,-0.00322771612480512,-0.00666165779872443
3.908,-0.00443033701070215,-0.00666605301109272
3.909,-0.00563295789659971,-0.00667044822346101
3.91,-0.00684020782937909,-0.00667561960986607
3.911,-0.00804936821338356,-0.00668111133060281
3.912,-0.00925967059890185,-0.00668702156778303
3.913,-0.0104748202403266,-0.00669470820917796
3.914,-0.0116899698817508,-0.00670239485057289
3.915,-0.0129090000996737,-0.00671238725553694
3.916,-0.0141299116303559,-0.00672349750018899
3.917,-0.0153508231610386,-0.00673460774484105
3.918,-0.0165743383065937,-0.0067479032172023
3.919,-0.0178004195798707,-0.00676335245410904
3.92,-0.0190265008531478,-0.00677880169101579
3.921,-0.0202538381351168,-0.00679571579408303
3.922,-0.021483682606678,-0.00681555399888387
3.923,-0.0227135270782392,-0.00683539220368471
3.924,-0.0239437650879189,-0.00685588157786794
3.925,-0.0251760107004362,-0.00687969283991408
3.926,-0.0264082563129531,-0.0069035041019602
3.927,-0.0276405019254699,-0.00692731536400633
3.928,-0.0288739999583159,-0.00695437359481537
3.929,-0.0301075055109451,-0.00698145132107536
