t,ref_x,ref_y,ref_z,ref_yaw,meas_x,meas_y,meas_z,roll,pitch,yaw,w1,w2,w3,w4
9.715,0.987539999999936,0,1,0,0.992885204573865,-0.000465072118573007,1.00162024614576,-0.00103454019615979,0.0826331986403712,-0.000139364685231051,0,0,0,0
9.716,0.987595999999936,0,1,0,0.992854616524748,-0.00046330496084053,1.00162027967628,-0.000957725342416325,0.0832365869461739,-0.000139417528625983,0,0,0,0
9.717,0.987651999999936,0,1,0,0.992824573891203,-0.000461582806077937,1.0016203869493,-0.00087764935808863,0.0838155133249934,-0.000139439332282387,0,0,0,0
9.718,0.987707999999936,0,1,0,0.992794710444047,-0.000459868867518473,1.00162051807178,-0.000796927912740449,0.0843866214294677,-0.000139453321759579,0,0,0,0
9.719,0.987763999999936,0,1,0,0.992765775378994,-0.000458197497906305,1.00162077276068,-0.000712862271082831,0.0849172222943525,-0.000139426825214456,0,0,0,0
9.72,0.987819999999936,0,1,0,0.992736840313941,-0.000456526128294138,1.00162102744958,-0.000628796629425212,0.0854478231592373,-0.000139400328669333,0,0,0,0
9.721,0.987883999999936,0,1,0,0.992708857554706,-0.000454866266287596,1.0016214017268,-0.000543406404365484,0.0859388506085983,-0.000139343242912475,0,0,0,0
9.722,0.987947999999936,0,1,0,0.99268106970344,-0.000453208759537123,1.0016218004801,-0.000457745077463043,0.0864217785861839,-0.000139279896476478,0,0,0,0
9.723,0.988011999999936,0,1,0,0.992653876584149,-0.000451541311729621,1.00162226698987,-0.000372393769467304,0.0868815398124103,-0.000139201640086162,0,0,0,0
9.724,0.988075999999936,0,1,0,0.992627281960767,-0.00044986385995024,1.00162280168492,-0.000287354442422208,0.0873179876698088,-0.00013910837937958,0,0,0,0
9.725,0.988139999999936,0,1,0,0.992600894603486,-0.000448178268720537,1.00162335700509,-0.000202740496774087,0.0877469483991277,-0.000139010197974324,0,0,0,0
9.726,0.988203999999936,0,1,0,0.992575543011854,-0.000446452002421644,1.00162401539458,-0.000120252298818465,0.0881384938927175,-0.000138887426486072,0,0,0,0
9.727,0.988267999999936,0,1,0,0.992550191420221,-0.000444725736122748,1.00162467378408,-3.7764100862697e-05,0.088530039386308,-0.000138764654997819,0,0,0,0
9.728,0.988331999999936,0,1,0,0.992525920504635,-0.000442939984216777,1.0016254224567,4.13015251095808e-05,0.0888856001306942,-0.000138611424271821,0,0,0,0
